TC_Link_ID,Direction,STREETNAME,ROUTENUMBE
50852,1,NORTHEAST EXPRESSWAY,1
51351,1,RAMP-CARTER ST TO RT 1 SB,1
51362,1,RAMP-SIXTH ST TO RT 1 NB,1
51352,1,NORTHEAST EXPRESSWAY,1
51375,1,NORTHEAST EXPRESSWAY,1
51356,1,RAMP-RT 1 SB TO CARTER ST,1
50853,1,RAMP-ARLINGTON ST TO RT 1 SB,1
50854,1,NORTHEAST EXPRESSWAY,1
51353,1,NORTHEAST EXPRESSWAY,1
56782,1,TOBIN BRIDGE,1
221817,1,TOBIN BRIDGE,1
56226,1,TOBIN BRIDGE,1
56223,1,TOBIN BRIDGE,1
221816,1,TOBIN BRIDGE,1
50555,1,TOBIN BRIDGE,1
50553,1,RAMP-RT 1 NB TO BEACON ST,1
55682,1,RAMP-EVERETT AVE TO RT 1 SB,1
56224,1,MAURICE TOBIN BRIDGE,1
56225,1,MAURICE TOBIN BRIDGE,1
221818,1,SUMNER TUNNEL,N478
66046,1,CALLAHAN TUNNEL,N476
51374,1,NORTHEAST EXPRESSWAY,1
46971,1,RAMP-RT 16 WB TO RT 1 SB,1
64044,1,INTERSTATE 93,93
64848,1,RAMP-RT 93 SB TO RT 16 EB,93
64840,1,INTERSTATE 93,93
64844,1,RAMP-RT 16 EB TO RT 93 SB,93
64845,1,INTERSTATE 93,93
64843,1,INTERSTATE 93,93
223215,1,INTERSTATE 93,93
63094,1,RAMP-RT 93 SB TO MYSTIC AVE,93
64043,1,INTERSTATE 93,93
87134,1,MYSTIC VALLEY PARKWAY,16
63095,1,INTERSTATE 93,93
58802,1,MYSTIC VALLEY PARKWAY,16
10549,1,FELLSWAY,28
51994,1,FELLSWAY,28
51995,1,FELLSWAY,28
10548,1,FELLSWAY,28
63082,1,INTERSTATE 93,93
63083,1,INTERSTATE 93,93
95841,1,JOHN F FITZGERALD EXPRESSWAY,93
62811,1,INTERSTATE 93,93
63084,1,INTERSTATE 93,93
75331,1,LEVERETT CONNECTOR NORTH,R12156
247441,1,SULLIVAN SQUARE TUNNEL,99
53179,1,SULLIVAN SQUARE TUNNEL,99
47021,1,NEW RUTHERFORD AVENUE,99
52176,1,NEW RUTHERFORD AVENUE,99
61527,1,LEVERETT CONNECTOR NORTH,93
61555,1,RAMP - RT 1 SB FROM TOBIN BRIDGE,1
77526,1,RAMP - LEVERETT CONNECTOR TO RT 1 NB,R12151
77527,1,RAMP - RT 1 NB TO TOBIN BRIDGE,1
74406,1,RAMP - LEVERETT CONNECTOR TO RT 1 NB,R12151
60153,0,RAMP - RT 1 SB TO LEVERETT CONNECTOR,R12196
77525,1,RAMP - RT 1 NB TO TOBIN BRIDGE,93
59839,1,RAMP - RT 1 SB FROM TOBIN BRIDGE,93
77528,1,RAMP - RT 1 NB TO TOBIN BRIDGE,1
61554,1,RAMP - RT 1 SB FROM TOBIN BRIDGE,1
61553,1,RAMP - RUTHERFORD AVENUE TO RT 1 SB,R12194
76678,1,RAMP - RT 1 SB TO LEVERETT CONNECTOR,R12196
74733,1,JOHN F FITZGERALD EXPRESSWAY,93
74736,1,RAMP - LEVERETT CONNECTOR TO RT 1 NB,R12151
95837,0,JOHN F FITZGERALD EXPRESSWAY,93
247428,0,RAMP - RUTHERFORD AVENUE TO RT 1 NB, 
51082,1,ALFORD STREET,N148
247443,1,SULLIVAN SQUARE TUNNEL,99
50230,1,SULLIVAN SQUARE TUNNEL,99
53356,1,ALFORD STREET, 
65462,1,ALFORD STREET,99
65463,1,ALFORD STREET,99
66754,0,BROADWAY,99
59870,1,INTERSTATE 93,93
74470,1,LEVERETT CONNECTOR SOUTH,93
72854,1,INTERSTATE 93,93
77784,1,LEVERETT CONNECTOR SOUTH,R12197
62812,1,INTERSTATE 93,93
62793,1,RAMP-RT 93 SB TO MYSTIC AVE,93
63051,1,INTERSTATE 93,93
66506,1,INTERSTATE 93,93
95840,1,INTERSTATE 93,93
66500,1,INTERSTATE 93,93
66505,1,RAMP-RT 28 SB TO RT 93 SB,93
95839,0,JOHN F FITZGERALD EXPRESSWAY,93
76444,1,MAURICE TOBIN BRIDGE,1
50205,1,MAURICE TOBIN BRIDGE,1
61550,1,RAMP - RT 1 SB FROM TOBIN BRIDGE,1
133457,1,RAMP - RUTHERFORD AVENUE TO RT 1 NB,1
77529,1,RAMP - RT 1 NB TO TOBIN BRIDGE,1
74196,1,RAMP - RT 1 SB TO RUTHERFORD AVENUE,1
75583,1,JOHN F FITZGERALD EXPRESSWAY,93
77530,1,RAMP - RT 1 NB TO TOBIN BRIDGE,1
61551,1,RAMP - RT 1 SB FROM TOBIN BRIDGE,1
61552,1,RAMP - RUTHERFORD AVENUE TO RT 1 SB,R12194
247427,1,RAMP - RUTHERFORD AVENUE TO RT 1 NB,1
95899,1,NEW RUTHERFORD AVENUE,99
61556,1,RAMP - RUTHERFORD AVENUE TO RT 1 NB,1
74197,1,RAMP - RT 1 SB TO RUTHERFORD AVENUE,R12192
47022,1,RUTHERFORD AVENUE,99
47019,1,RUTHERFORD AVENUE,99
53177,1,RUTHERFORD AVENUE,99
50419,1,RUTHERFORD AVENUE, 
53180,1,RUTHERFORD AVENUE,N145
53185,1,NEW RUTHERFORD AVENUE, 
47020,1,RUTHERFORD AVENUE,99
53178,1,RUTHERFORD AVENUE,99
53176,1,NEW RUTHERFORD AVENUE,BSR0284
58835,1,INTERSTATE 93,93
64835,1,INTERSTATE 93,93
64841,1,INTERSTATE 93,93
34364,1,MASSACHUSETTS TURNPIKE,90
221825,1,MASSACHUSETTS TURNPIKE,90
47119,1,REVERE BEACH PARKWAY,16
44591,1,REVERE BEACH PARKWAY,16
47120,1,REVERE BEACH PARKWAY,16
47118,1,REVERE BEACH PARKWAY,16
46755,1,RAMP-RT 1 NB TO RT 16 EB,1
46621,1,REVERE BEACH PARKWAY,16
46623,1,RAMP-RT 1 SB TO RT 16 EB,R21061
46620,1,REVERE BEACH PARKWAY,16
46618,1,REVERE BEACH PARKWAY,16
44589,1,REVERE BEACH PARKWAY,16
44586,1,NORTHEAST EXPRESSWAY,1
46622,1,RAMP-RT 1 SB TO RT 16 WB,1
50839,1,RAMP-RT 1 NB TO FOURTH ST,1
50841,1,TOBIN BRIDGE,1
50842,1,NORTHEAST EXPRESSWAY,1
51554,1,RAMP-RT 60 TO RT 1 NB,1
51546,1,NORTHEAST EXPRESSWAY,1
51543,1,RAMP-RT 60 TO RT 1 SB,1
222686,1,ROBERT M COPELAND CIRCLE,60
51544,1,CUTLER HIGHWAY,1
51555,1,CUTLER HIGHWAY,1
51556,1,CUTLER HIGHWAY,1
51559,1,RAMP-RT 1 SB TO RT 60,1
51764,1,CUTLER HIGHWAY,1
53309,1,RAMP-SARGENT ST TO RT 1 SB,1
47124,1,NORTHEAST EXPRESSWAY,1
46619,1,REVERE BEACH PARKWAY,16
46627,1,RAMP-RT 16 WB TO RT 1 SB,1
44590,1,REVERE BEACH PARKWAY,16
46629,1,REVERE BEACH PARKWAY,16
46617,1,REVERE BEACH PARKWAY,16
44593,1,RAMP-RT 16 WB TO RT 1 NB,R21006
44592,1,RAMP-RT 16 EB TO RT 1 NB,1
53267,1,NORTHEAST EXPRESSWAY,1
53056,1,RAMP-RT 1 NB TO SARGENT ST,1
53310,1,NORTHEAST EXPRESSWAY,1
51545,1,CUTLER HIGHWAY,1
49899,1,NORTHEAST EXPRESSWAY,1
47114,1,REVERE BEACH PARKWAY,16
47122,1,NORTHEAST EXPRESSWAY,1
47112,1,RAMP-RT 1 NB TO WEBSTER AVE,1
46923,1,REVERE BEACH PARKWAY,16
47121,1,NORTHEAST EXPRESSWAY,1
47117,1,REVERE BEACH PARKWAY,16
